RecordID,Rental Date,Return Date,Rental Customer ID
Beat01,2018-04-11,2019-01-11,timo
Que02,2019-02-14,2019-03-09,toby
Zep03,2019-10-19,2020-02-11,toby
Zep01,2020-01-22,2020-11-13,juli
Frnk01,2020-02-01,2021-05-05,olvr
Que03,2020-11-04,2021-12-17,olvr
Gamb01,2021-04-17,2022-01-14,olvr
MJ01,2021-05-25,2022-03-21,lili
MJ02,2021-05-25,2022-09-10,lili
BIG02,2021-06-11,2021-11-11,amrh
Trav03,2021-08-14,2023-03-09,amrh
Zep03,2021-10-19,2022-01-11,jeny
Hrt02,2021-11-22,2021-11-19,juli
Frnk01,2021-12-01,2022-03-05,olvr
Frnk02,2022-01-04,2022-12-17,olvr
Gamb03,2022-01-17,2022-01-20,olvr
MJ03,2022-02-15,2022-03-21,amrh
MJ02,202-02-25,2022-09-10,toby
Zep02,2022-03-11,2023-01-11,toby
Que02,2022-03-14,2022-03-19,toby
Zep03,2022-03-19,2022-05-11,toby
Zep02,2022-03-22,2023-11-13,juli
Frnk03,2022-04-01,2022-05-05,olvr
Hrt01,2022-04-04,2022-12-17,olvr
Beat01,2022-04-17,2023-01-14,olvr
MJ01,2022-04-25,2023-03-21,toby
MJ03,2022-04-29,2022-09-10,jeny
BIG02,2022-04-30,2022-07-11,timo
BIG03,2022-05-03,2022-07-09,toby
Zep03,2022-05-19,2022-12-11,lili
Frnk03,2022-05-22,2020-11-13,juli
Frnk01,2022-05-23,2022-07-05,amrh
Que02,2022-06-04,2022-12-17,jeny
Gamb02,2022-06-17,2022-11-14, juli
Beat02,2022-06-25,2022-12-21,juli
Beat03,2022-06-27,2022-09-10,juli
Trav02,2022-07-01,2022-09-11,lili
Hrt03,2022-07-04,2022-10-09,amrh
Frnk02,2022-07-11,2022-12-11,toby
Frnk03,2022-07-22,2022-11-13,juli
Frnk01,2022-07-25,2022-10-05,olvr
Gamb02,2022-08-04,2022-09-17,amrh
Gamb01,2022-08-17,2022-01-14,olvr
MJ01,2022-08-25,2022-12-21,timo
MJ02,2022-09-02,2022-11-20,timo
Hrt01,2022-09-10,2023-03-11,toby
Que01,2022-09-14,2023-03-09,toby
Gamb01,2022-10-19,2023-02-11,amrh
Gamb02,2022-10-22,2022-11-13,juli
Gamb03,2022-11-01,2022-12-05,jeny
Trav03,2022-11-04,2023-01-17,lili
Trav01,2022-11-17,2023-01-14,lili
MJ03,2022-12-05,2023-01-21,lili
Beat01,2022-12-13,2023-01-10,lili
Zep02,2022-12-16,2023-01-11,mthw
Zep01,2022-12-16,2023-01-09,mthw
BIG01,2022-12-19,2023-02-11,toby
BIG03,2022-12-22,2023-01-13,amrh
Frnk01,2022-12-27-2023-02-05,jeny
Hrt02,2023-01-04,2023-02-17,jeny
Zep03,2023-01-07,2023-01-14,juli
Beat03,2023-01-15,2023-01-21,toby
MJ02,2023-01-17,2023-02-10,mthw
BIG02,2023-01-19,2023-01-30,timo
Zep02,2023-01-22,2023-02-09,lili
Trav03,2023-01-23,2023-03-01,lili
Frnk02,2023-01-27,2023-02-13,olvr
Gamb02,2023-02-01,2021-05-05,olvr
Que03,2023-02-04,2023-04-17,olvr
Trav01,2023-02-07,2023-03-14,olvr
MJ01,2023-02-12,2023-03-21,amrh
MJ02,2023-02-15,2023-04-01,amrh
BIG03,2023-02-18,2023-03-11,timo
Que02,2023-02-22,2023-03-09,timo
Zep03,2023-03-09,2023-04-11,toby
Zep01,2023-03-12,2023-05-13,juli
Frnk03,2023-03-21,2023-05-05,juli
Que01,2023-04-04,2023-04-17,juli
Beat02,2023-04-17,2023-05-14,olvr
Gamb01,2023-04-22,2023-05-21,lili
Gamb03,2023-04-25,2023-05-10,lili
Zep02,2023-04-30,2023-06-11,timo
Que03,2023-05-01,2023-06-09,timo
Frnk01,2023-05-19,2023-07-11,jeny
Frnk02,2023-05-22,2023-06-09,jeny
Zep03,2023-05-27,2023-06-05,mthw
BIG02,2023-06-04,2023-07-17,mthw
BIG01,2023-06-07,2023-06-14,toby
Trav02,2023-06-13,2023-07-21,amrh
Beat02,2023-06-25,2023-07-10,amrh
MJ02,2023-07-02,2023-08-11,olvr
Que02,2023-07-14,2023-09-09,toby
Zep03,2019-07-29,2023-10-11,toby
Gamb01,2023-08-12,2023-09-13,lili
Frnk03,2023-08-31,2023-09-05,lili
Beat01,2023-09-04,2023-10-17,lili
MJ03,2023-09-17,2023-10-12,lili
MJ01,2023-09-25,2023-11-21,lili
MJ02,2023-10-15,2023-11-10,lili
Trav03,2023-11-11,2024-01-11,timo
Trav01,2023-12-14,2024-01-09,olvr
Zep01,2023-12-29,2024-03-11,olvr
Beat02,2024-01-22,2024-03-13,olvr
Frnk01,2024-01-24,2024-02-05,olvr
Que03,2024-03-04,2023-05-17,olvr
Gamb01,2024-03-17,2024-04-14,olvr
MJ01,2024-03-25,2024-05-21,mthw
MJ02,2024-04-05,2024-05-10,amrh
Zep02,2024-04-11,2024-05-11,jeny
Beat03,2024-04-25,2024-05-19,jeny
Zep03,2024-05-19,2024-06-11,juli
Zep01,2024-06-22,2024-07-17,juli
Frnk01,2024-07-02,2024-08-05,toby
Que03,2024-08-14,2024-10-17,toby
Gamb03,2024-09-27,2024-11-12,timo
Trav02,2024-10-25,2024-12-21,olvr
Que01,2024-11-15,2024-12-10,amrh
Gamb03,2024-12-10,2024-12-10,olvr
MJ02,2024-12-10,2024-12-10,olvr
Gamb03,2024-12-10,2024-12-10,olvr
Gamb02,2024-12-10,2024-12-10,olvr
Gamb01,2024-12-10,2024-12-10,olvr
Beat01,2024-12-10,2024-12-10,olvr
BIG02,2024-12-10,2024-12-10,olvr
Frnk03,2024-12-10,2024-12-10,olvr
Frnk01,2024-12-10,2024-12-10,olvr
Zep03,2024-12-10,2024-12-10,olvr
Trav01,2024-12-11,2024-12-11,timo
Trav02,2024-12-11,2024-12-11,timo
MJ01,2024-12-11,2024-12-11,timo
